feature_id	perturbation_type	base_prompt_family	position_label	hit_count	comparison_count	mean_activation	max_activation
2722	ascii_original	just_check_hum	final_prompt_token	0	1	0.0	0.0
2722	ascii_original	just_check_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	ascii_original	just_check_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	ascii_original	just_check_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	ascii_original	just_check_hum	final_prompt_token_minus_5	0	1	0.0	0.0
2722	ascii_original	original_hum	final_prompt_token	1	1	0.183280348777771	0.183280348777771
2722	ascii_original	original_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	ascii_original	original_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	ascii_original	original_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	ascii_original	original_hum	final_prompt_token_minus_5	0	1	0.0	0.0
2722	ascii_original	paraphrase_hum	final_prompt_token	0	1	0.0	0.0
2722	ascii_original	paraphrase_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	ascii_original	paraphrase_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	ascii_original	paraphrase_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	ascii_original	paraphrase_hum	final_prompt_token_minus_5	0	1	0.0	0.0
2722	ascii_original	removed_sentence_hum	final_prompt_token	0	1	0.0	0.0
2722	ascii_original	removed_sentence_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	ascii_original	removed_sentence_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	ascii_original	removed_sentence_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	ascii_original	removed_sentence_hum	final_prompt_token_minus_5	0	1	0.0	0.0
2722	ascii_original	yes_no_hum	final_prompt_token	0	1	0.0	0.0
2722	ascii_original	yes_no_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	ascii_original	yes_no_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	ascii_original	yes_no_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	ascii_original	yes_no_hum	final_prompt_token_minus_5	0	1	0.0	0.0
2722	d_to_ḑ	just_check_hum	final_prompt_token	0	1	0.0	0.0
2722	d_to_ḑ	just_check_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	d_to_ḑ	just_check_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	d_to_ḑ	just_check_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	d_to_ḑ	just_check_hum	final_prompt_token_minus_5	0	1	0.0	0.0
2722	d_to_ḑ	original_hum	final_prompt_token	0	1	0.0	0.0
2722	d_to_ḑ	original_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	d_to_ḑ	original_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	d_to_ḑ	original_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	d_to_ḑ	original_hum	final_prompt_token_minus_5	0	1	0.0	0.0
2722	d_to_ḑ	paraphrase_hum	final_prompt_token	0	1	0.0	0.0
2722	d_to_ḑ	paraphrase_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	d_to_ḑ	paraphrase_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	d_to_ḑ	paraphrase_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	d_to_ḑ	paraphrase_hum	final_prompt_token_minus_5	0	1	0.0	0.0
2722	d_to_ḑ	removed_sentence_hum	final_prompt_token	0	1	0.0	0.0
2722	d_to_ḑ	removed_sentence_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	d_to_ḑ	removed_sentence_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	d_to_ḑ	removed_sentence_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	d_to_ḑ	removed_sentence_hum	final_prompt_token_minus_5	0	1	0.0	0.0
2722	d_to_ḑ	yes_no_hum	final_prompt_token	0	1	0.0	0.0
2722	d_to_ḑ	yes_no_hum	final_prompt_token_minus_1	0	1	0.0	0.0
2722	d_to_ḑ	yes_no_hum	final_prompt_token_minus_10	0	1	0.0	0.0
2722	d_to_ḑ	yes_no_hum	final_prompt_token_minus_2	0	1	0.0	0.0
2722	d_to_ḑ	yes_no_hum	final_prompt_token_minus_5	0	1	0.0	0.0
