prompt_family	perturbation_type	layer	position_label	ascii_prompt_id	perturbation_prompt_id	topk_jaccard	topk_jaccard_distance	ascii_topk_count	perturbation_topk_count	intersection_count	union_count	ascii_prompt_token_count	perturbation_prompt_token_count	token_count_delta_vs_ascii
original_hum	ascii_original	26	final_prompt_token	original_hum_ascii_original	original_hum_ascii_original	1.0	0.0	50	50	50	50	93	93	0
original_hum	ascii_original	26	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_ascii_original	1.0	0.0	50	50	50	50	93	93	0
original_hum	ascii_original	26	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_ascii_original	1.0	0.0	50	50	50	50	93	93	0
original_hum	ascii_original	26	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_ascii_original	1.0	0.0	50	50	50	50	93	93	0
original_hum	ascii_original	14	final_prompt_token	original_hum_ascii_original	original_hum_ascii_original	1.0	0.0	50	50	50	50	93	93	0
original_hum	ascii_original	14	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_ascii_original	1.0	0.0	50	50	50	50	93	93	0
original_hum	ascii_original	14	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_ascii_original	1.0	0.0	50	50	50	50	93	93	0
original_hum	ascii_original	14	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_ascii_original	1.0	0.0	50	50	50	50	93	93	0
original_hum	d_to_ḑ	26	final_prompt_token	original_hum_ascii_original	original_hum_d_to_ḑ	0.6949152542372882	0.30508474576271183	50	50	41	59	93	124	31
original_hum	d_to_ḑ	26	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_d_to_ḑ	0.8518518518518519	0.14814814814814814	50	50	46	54	93	124	31
original_hum	d_to_ḑ	26	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_d_to_ḑ	0.639344262295082	0.360655737704918	50	50	39	61	93	124	31
original_hum	d_to_ḑ	26	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_d_to_ḑ	0.6949152542372882	0.30508474576271183	50	50	41	59	93	124	31
original_hum	d_to_ḑ	14	final_prompt_token	original_hum_ascii_original	original_hum_d_to_ḑ	0.7857142857142857	0.2142857142857143	50	50	44	56	93	124	31
original_hum	d_to_ḑ	14	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_d_to_ḑ	0.7241379310344828	0.27586206896551724	50	50	42	58	93	124	31
original_hum	d_to_ḑ	14	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_d_to_ḑ	0.6666666666666666	0.33333333333333337	50	50	40	60	93	124	31
original_hum	d_to_ḑ	14	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_d_to_ḑ	0.5625	0.4375	50	50	36	64	93	124	31
original_hum	e_to_ē	26	final_prompt_token	original_hum_ascii_original	original_hum_e_to_ē	0.47058823529411764	0.5294117647058824	50	50	32	68	93	177	84
original_hum	e_to_ē	26	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_e_to_ē	0.5384615384615384	0.46153846153846156	50	50	35	65	93	177	84
