matrix	pass_id	family	variant	decode_mode	seed	layer	position_label	residual_l2_vs_ascii	residual_cosine_distance_vs_ascii	sae_topk_jaccard_distance_vs_ascii
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	14	final_prompt_token	1.6000099182128906	0.08063509179731387	0.5507246376811594
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	15	final_prompt_token	1.6414026021957397	0.13591803901573785	0.7012987012987013
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	16	final_prompt_token	1.64194655418396	0.15067343992430116	0.7012987012987013
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	24	final_prompt_token	2.096271514892578	0.11585489373768953	0.6842105263157895
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	25	final_prompt_token	2.19036602973938	0.11280568255271528	0.5714285714285714
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	26	final_prompt_token	2.3371803760528564	0.09570314718130812	0.5915492957746479
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	14	generated_token_1	1.803257703781128	0.20906447683148244	0.7341772151898734
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	15	generated_token_1	1.882840633392334	0.2714277587458944	0.6842105263157895
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	16	generated_token_1	2.0461368560791016	0.2778560126277949	0.7341772151898734
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	24	generated_token_1	2.4275195598602295	0.18058257114090104	0.717948717948718
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	25	generated_token_1	2.472003698348999	0.16525349747814355	0.6301369863013699
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	26	generated_token_1	2.4544451236724854	0.13126550131053072	0.5074626865671642
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	14	generated_token_8	1.6524159908294678	0.11060124695437179	0.717948717948718
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	15	generated_token_8	1.8044664859771729	0.177640202082341	0.7654320987654322
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	16	generated_token_8	1.9694130420684814	0.19170288000065228	0.7654320987654322
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	24	generated_token_8	3.2034454345703125	0.21055775018673217	0.7654320987654322
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	25	generated_token_8	3.415621519088745	0.22354290097503549	0.7951807228915663
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	26	generated_token_8	3.5323495864868164	0.18300873152987407	0.7654320987654322
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	14	generated_token_16	1.9244358539581299	0.17595384467695774	0.8235294117647058
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	15	generated_token_16	2.0533998012542725	0.22420134526908653	0.8095238095238095
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	16	generated_token_16	2.0757765769958496	0.18269122356584	0.8095238095238095
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	24	generated_token_16	3.413377285003662	0.21251284599309583	0.8505747126436781
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	25	generated_token_16	3.7636239528656006	0.23710143401385697	0.7804878048780488
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	26	generated_token_16	3.9467287063598633	0.20268534208897604	0.8372093023255813
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	14	generated_token_32	3.244415283203125	0.4499322824958266	0.9583333333333334
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	15	generated_token_32	3.3630990982055664	0.4767938394047241	0.9795918367346939
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	16	generated_token_32	3.518980026245117	0.4441357779826164	0.9473684210526316
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	24	generated_token_32	5.198833465576172	0.4054727006878469	0.9361702127659575
canonical_deterministic_replication	det_pass_01_original_order	hum_processing	light_global_mixed	greedy	0	25	generated_token_32	5.446883201599121	0.40183598163226	0.9130434782608696
