run_id	matrix	pass_id	family	variant	decode_mode	seed	layer	position_label	token_position	token_id	token_string	finite	positive_count_after_relu	top_activation
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	14	final_prompt_token	48	13	.	True	719	0.7091055512428284
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	15	final_prompt_token	48	13	.	True	846	0.5021997690200806
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	16	final_prompt_token	48	13	.	True	800	0.7266230583190918
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	24	final_prompt_token	48	13	.	True	839	1.0052552223205566
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	25	final_prompt_token	48	13	.	True	735	1.011038064956665
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	26	final_prompt_token	48	13	.	True	753	1.060434341430664
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	14	generated_token_1	49	271	"

"	True	670	1.251289963722229
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	15	generated_token_1	49	271	"

"	True	1019	1.473699927330017
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	16	generated_token_1	49	271	"

"	True	751	1.4877992868423462
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	24	generated_token_1	49	271	"

"	True	869	1.6942301988601685
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	25	generated_token_1	49	271	"

"	True	729	1.7826077938079834
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	26	generated_token_1	49	271	"

"	True	785	2.5201337337493896
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	14	generated_token_8	56	264	 a	True	588	0.3709082305431366
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	15	generated_token_8	56	264	 a	True	682	0.38162288069725037
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	16	generated_token_8	56	264	 a	True	750	0.3776443302631378
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	24	generated_token_8	56	264	 a	True	765	0.5658460855484009
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	25	generated_token_8	56	264	 a	True	799	0.5618882179260254
det_pass_01_original_order::001::hum_processing::ascii_baseline	canonical_deterministic_replication	det_pass_01_original_order	hum_processing	ascii_baseline	greedy	0	26	generated_token_8	56	264	 a	True	704	0.5947409868240356
