prompt_id	condition_family	position_label	token_position	token_string	feature_id	appeared_in_topk50	activation	rank	prompt_token_count
normal_hum_original	original_normal	final_prompt_token	92	.	23977	1	0.19217467308044434	30	93
normal_hum_original	original_normal	final_prompt_token	92	.	2722	1	0.183280348777771	35	93
normal_hum_original	original_normal	final_prompt_token	92	.	9745	1	0.17381246387958527	41	93
normal_hum_original	original_normal	final_prompt_token	92	.	7108	1	0.17277000844478607	43	93
normal_hum_original	original_normal	final_prompt_token	92	.	31784	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_1	91	check	23977	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_1	91	check	2722	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_1	91	check	9745	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_1	91	check	7108	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_1	91	check	31784	1	0.17284290492534637	38	93
normal_hum_original	original_normal	final_prompt_token_minus_2	90	Just	23977	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_2	90	Just	2722	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_2	90	Just	9745	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_2	90	Just	7108	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_2	90	Just	31784	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_5	87	an	23977	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_5	87	an	2722	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_5	87	an	9745	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_5	87	an	7108	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_5	87	an	31784	1	0.1678534746170044	38	93
normal_hum_original	original_normal	final_prompt_token_minus_10	82	now	23977	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_10	82	now	2722	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_10	82	now	9745	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_10	82	now	7108	0	0.0		93
normal_hum_original	original_normal	final_prompt_token_minus_10	82	now	31784	0	0.0		93
dstroke_hum_original	original_dstroke	final_prompt_token	123	.	23977	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token	123	.	2722	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token	123	.	9745	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token	123	.	7108	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token	123	.	31784	1	0.17004404962062836	40	124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_1	122	check	23977	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_1	122	check	2722	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_1	122	check	9745	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_1	122	check	7108	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_1	122	check	31784	1	0.1702091246843338	34	124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_2	121	Just	23977	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_2	121	Just	2722	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_2	121	Just	9745	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_2	121	Just	7108	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_2	121	Just	31784	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_5	118	an	23977	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_5	118	an	2722	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_5	118	an	9745	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_5	118	an	7108	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_5	118	an	31784	1	0.14504337310791016	39	124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_10	113	now	23977	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_10	113	now	2722	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_10	113	now	9745	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_10	113	now	7108	0	0.0		124
dstroke_hum_original	original_dstroke	final_prompt_token_minus_10	113	now	31784	0	0.0		124
normal_hum_removed_sentence	removed_sentence_normal	final_prompt_token	88	.	23977	1	0.17617583274841309	33	89
