.cache/huggingface/.gitignore	1
.cache/huggingface/CACHEDIR.TAG	191
.cache/huggingface/download/.gitattributes.metadata	100
.cache/huggingface/download/LICENSE.metadata	101
.cache/huggingface/download/README.md.metadata	101
.cache/huggingface/download/config.json.metadata	99
.cache/huggingface/download/merges.txt.metadata	100
.cache/huggingface/download/model.safetensors-00001-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00002-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00003-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00004-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00005-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00006-of-00014.safetensors.metadata	124
.cache/huggingface/download/model.safetensors-00007-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00008-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00009-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00010-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00011-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00012-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00013-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors-00014-of-00014.safetensors.metadata	125
.cache/huggingface/download/model.safetensors.index.json.metadata	101
.cache/huggingface/download/preprocessor_config.json.metadata	101
.cache/huggingface/download/tokenizer.json.metadata	125
.cache/huggingface/download/tokenizer_config.json.metadata	100
.cache/huggingface/download/video_preprocessor_config.json.metadata	101
.cache/huggingface/download/vocab.json.metadata	101
.gitattributes	1570
LICENSE	11343
README.md	3822
config.json	3544
merges.txt	3353259
model.safetensors-00001-of-00014.safetensors	5368709808
model.safetensors-00002-of-00014.safetensors	5368709808
model.safetensors-00003-of-00014.safetensors	5368709808
model.safetensors-00004-of-00014.safetensors	5368709816
model.safetensors-00005-of-00014.safetensors	5368709816
model.safetensors-00006-of-00014.safetensors	5368709816
model.safetensors-00007-of-00014.safetensors	5368709816
model.safetensors-00008-of-00014.safetensors	5368709816
model.safetensors-00009-of-00014.safetensors	5255463928
model.safetensors-00010-of-00014.safetensors	5368710456
model.safetensors-00011-of-00014.safetensors	5368710464
model.safetensors-00012-of-00014.safetensors	5368710464
model.safetensors-00013-of-00014.safetensors	5367839480
model.safetensors-00014-of-00014.safetensors	2224764664
model.safetensors.index.json	187463
preprocessor_config.json	390
tokenizer.json	12807196
tokenizer_config.json	16713
video_preprocessor_config.json	386
vocab.json	6722759
