family	variant	layer	position_label	token_position	token_id	token_string	feature_id	activation	rank
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	7811	0.7091057896614075	1
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	3830	0.5253709554672241	2
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	3911	0.42801904678344727	3
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	20557	0.3894274830818176	4
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	3541	0.3727222681045532	5
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	4809	0.32488879561424255	6
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	13332	0.30849090218544006	7
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	29924	0.2779315710067749	8
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	4112	0.2751269042491913	9
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	29574	0.24828371405601501	10
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	16874	0.23529121279716492	11
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	27872	0.21578356623649597	12
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	13434	0.19579190015792847	13
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	5156	0.19054092466831207	14
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	10976	0.19015879929065704	15
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	2945	0.18799975514411926	16
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	1954	0.1873268485069275	17
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	23081	0.18097370862960815	18
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	2176	0.174147367477417	19
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	27327	0.17181965708732605	20
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	18450	0.1689239889383316	21
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	24339	0.1682140976190567	22
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	32088	0.16420814394950867	23
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	13551	0.16384543478488922	24
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	11864	0.1582513302564621	25
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	19126	0.15693381428718567	26
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	24442	0.15179046988487244	27
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	24142	0.15049004554748535	28
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	10664	0.14931419491767883	29
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	14360	0.1479039490222931	30
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	5112	0.14596660435199738	31
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	18624	0.14373870193958282	32
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	31165	0.14342617988586426	33
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	15599	0.13843797147274017	34
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	19914	0.13757959008216858	35
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	645	0.13645526766777039	36
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	14015	0.13548636436462402	37
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	32537	0.13379938900470734	38
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	18167	0.1327095627784729	39
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	4082	0.13168348371982574	40
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	29599	0.1283545196056366	41
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	290	0.12636122107505798	42
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	27294	0.12247862666845322	43
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	28465	0.12218528985977173	44
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	17099	0.12118911743164062	45
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	16325	0.12109643965959549	46
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	22208	0.12053712457418442	47
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	24607	0.11908187717199326	48
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	4310	0.11708912253379822	49
hum_processing	ascii_baseline	14	final_prompt_token	48	13	.	28640	0.11333869397640228	50
hum_processing	ascii_baseline	15	final_prompt_token	48	13	.	3891	0.5021997094154358	1
hum_processing	ascii_baseline	15	final_prompt_token	48	13	.	837	0.4976509213447571	2
hum_processing	ascii_baseline	15	final_prompt_token	48	13	.	13970	0.412642240524292	3
hum_processing	ascii_baseline	15	final_prompt_token	48	13	.	7660	0.38359618186950684	4
hum_processing	ascii_baseline	15	final_prompt_token	48	13	.	4853	0.37347114086151123	5
hum_processing	ascii_baseline	15	final_prompt_token	48	13	.	27456	0.34452033042907715	6
