family	variant	layer	position_label	residual_l2_vs_ascii	residual_cosine_distance_vs_ascii	sae_topk_jaccard_distance_vs_ascii
hum_processing	light_global_mixed	14	final_prompt_token	1.6000099182128906	0.08063516191743092	0.5507246376811594
hum_processing	light_global_mixed	14	generated_token_1	1.803257703781128	0.20906435403327417	0.7341772151898734
hum_processing	light_global_mixed	14	generated_token_8	1.6524159908294678	0.11060124695437179	0.717948717948718
hum_processing	light_global_mixed	14	generated_token_16	1.9244358539581299	0.17595402615198408	0.8235294117647058
hum_processing	light_global_mixed	14	generated_token_32	3.244415283203125	0.4499322008736085	0.9583333333333334
hum_processing	light_global_mixed	14	generated_token_64	3.1465187072753906	0.34266671911648183	0.8764044943820225
hum_processing	light_global_mixed	15	final_prompt_token	1.6414026021957397	0.13591803901573785	0.7012987012987013
hum_processing	light_global_mixed	15	generated_token_1	1.882840633392334	0.2714277587458944	0.6842105263157895
hum_processing	light_global_mixed	15	generated_token_8	1.8044664859771729	0.1776401500517618	0.7654320987654322
hum_processing	light_global_mixed	15	generated_token_16	2.0533998012542725	0.22420124378450834	0.8095238095238095
hum_processing	light_global_mixed	15	generated_token_32	3.3630990982055664	0.4767938394047241	0.9795918367346939
hum_processing	light_global_mixed	15	generated_token_64	3.1926116943359375	0.39152271310325015	0.9010989010989011
hum_processing	light_global_mixed	16	final_prompt_token	1.64194655418396	0.15067343992430116	0.7012987012987013
hum_processing	light_global_mixed	16	generated_token_1	2.0461368560791016	0.2778560126277949	0.7341772151898734
hum_processing	light_global_mixed	16	generated_token_8	1.9694130420684814	0.19170288000065228	0.7654320987654322
hum_processing	light_global_mixed	16	generated_token_16	2.0757765769958496	0.18269122356584	0.8095238095238095
hum_processing	light_global_mixed	16	generated_token_32	3.518980026245117	0.4441357779826164	0.9473684210526316
hum_processing	light_global_mixed	16	generated_token_64	3.2996199131011963	0.39163989647559727	0.9361702127659575
hum_processing	light_global_mixed	24	final_prompt_token	2.096271514892578	0.11585489373768953	0.6842105263157895
hum_processing	light_global_mixed	24	generated_token_1	2.4275195598602295	0.18058257114090104	0.717948717948718
hum_processing	light_global_mixed	24	generated_token_8	3.2034454345703125	0.21055759345024827	0.7654320987654322
hum_processing	light_global_mixed	24	generated_token_16	3.413377285003662	0.21251291666362548	0.8505747126436781
hum_processing	light_global_mixed	24	generated_token_32	5.198833465576172	0.4054727006878469	0.9361702127659575
hum_processing	light_global_mixed	24	generated_token_64	5.128946304321289	0.3820438052075411	0.8636363636363636
hum_processing	light_global_mixed	25	final_prompt_token	2.19036602973938	0.11280568255271528	0.5714285714285714
hum_processing	light_global_mixed	25	generated_token_1	2.472003698348999	0.16525349747814355	0.6301369863013699
hum_processing	light_global_mixed	25	generated_token_8	3.415621519088745	0.22354290097503549	0.7951807228915663
hum_processing	light_global_mixed	25	generated_token_16	3.7636239528656006	0.23710156237403313	0.7804878048780488
hum_processing	light_global_mixed	25	generated_token_32	5.446883201599121	0.40183592982557115	0.9130434782608696
hum_processing	light_global_mixed	25	generated_token_64	5.359045028686523	0.39781488602001946	0.8636363636363636
hum_processing	light_global_mixed	26	final_prompt_token	2.3371803760528564	0.09570307144248535	0.5915492957746479
