prompt_id	condition_family	layer	position_label	token_position	token_string	feature_id	activation	rank	prompt_token_count	generated_token_count
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	3830	0.5813111066818237	1	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	2961	0.49739670753479004	2	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	30170	0.32819151878356934	3	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	7163	0.31079354882240295	4	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	17656	0.2834644913673401	5	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	11831	0.22366470098495483	6	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	6429	0.22247719764709473	7	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	8033	0.2139592170715332	8	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	23505	0.21176022291183472	9	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	1168	0.19131702184677124	10	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	11864	0.17894107103347778	11	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	16382	0.17641112208366394	12	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	11464	0.1717885285615921	13	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	10138	0.1650094985961914	14	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	15605	0.16255566477775574	15	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	10664	0.15952718257904053	16	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	15272	0.15002846717834473	17	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	27232	0.1493145078420639	18	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	20557	0.1472875475883484	19	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	12578	0.14496168494224548	20	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	14932	0.14386379718780518	21	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	14487	0.14104986190795898	22	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	18609	0.13936695456504822	23	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	2176	0.13836729526519775	24	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	25151	0.13824991881847382	25	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	32699	0.1366274654865265	26	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	2372	0.13568632304668427	27	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	18148	0.13539999723434448	28	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	12817	0.13496030867099762	29	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	20769	0.1340601146221161	30	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	20681	0.13179536163806915	31	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	8356	0.13161075115203857	32	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	14505	0.13090312480926514	33	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	31165	0.130751833319664	34	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	11944	0.13024964928627014	35	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	7065	0.1300930380821228	36	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	12257	0.1293594390153885	37	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	31774	0.12641730904579163	38	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	9298	0.12540438771247864	39	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	29957	0.1250176876783371	40	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	10804	0.1227223128080368	41	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	3145	0.12131968885660172	42	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	25704	0.12124883383512497	43	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	28830	0.12113011628389359	44	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	3141	0.12070468068122864	45	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	10976	0.119614377617836	46	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	15702	0.11906852573156357	47	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	19473	0.11828082799911499	48	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	4880	0.11817701160907745	49	109	24
stream_ascii_control	ascii_control	14	final_prompt_token	108	.	26050	0.1180991381406784	50	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	2938	1.169403314590454	1	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	18937	0.7248795032501221	2	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	19389	0.5195546746253967	3	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	28713	0.5040090680122375	4	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	5257	0.4800812900066376	5	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	6021	0.38746368885040283	6	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	11256	0.3453023135662079	7	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	18198	0.32503288984298706	8	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	31073	0.31740185618400574	9	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	16475	0.3092605769634247	10	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	6194	0.2967970669269562	11	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	26056	0.2957383096218109	12	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	8915	0.294447124004364	13	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	799	0.2856418490409851	14	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	6429	0.2759716212749481	15	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	12323	0.2738650143146515	16	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	21517	0.2714020609855652	17	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	31664	0.2663353681564331	18	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	17869	0.2632236182689667	19	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	3532	0.26266932487487793	20	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	32698	0.2608239948749542	21	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	7982	0.25808578729629517	22	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	22078	0.25638365745544434	23	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	1626	0.24971209466457367	24	109	24
stream_ascii_control	ascii_control	26	final_prompt_token	108	.	21478	0.24764522910118103	25	109	24
