path	bytes	sha256	extension	artifact_guess
.gitignore	164	942bfefb2b67b9567b00567ee82f538ad995a4d11dd6c2276537002466e28ae6	[none]	other
README.md	2607	3490edf2f4ce302022bcf0a5e0129afa79b0257ed167afbd70fee836e58b074d	.md	documentation_or_summary
code/README.md	388	b5ba26ef79fe0ddbd897ed591f934b87fdb4b848e64a870cf057dc797a4ee76b	.md	documentation_or_summary
code/original_scripts/anthropic_behavioral.py	10057	6817bcf57ab9008124feb6fe26e01844d2a6112e1fb37a87511219938fa2231a	.py	script
code/original_scripts/battery.py	4280	c88539e75a22f96cf7f174385c7d4153814b11e7fcf3b13c846dc8e9865e59f0	.py	script
code/original_scripts/blinded_judge.py	7391	3bb49240b841e283c9e0ff9294957d9306e4f4e292593d28966ea1af7010b8f6	.py	script
code/original_scripts/blinded_judge_v2.py	10636	d7607750560fccabf8497d6996dc15685812150cd20ece7ef6493ddb8fc9fb79	.py	script
code/original_scripts/claude_behavioral.py	4783	8055476740dd0969c844a7354fc02c3387816c5603be649fa6c7db6311327075	.py	script
code/original_scripts/collect_diacritic_artifacts.py	15740	445d05bb3a750f5496c008491b01b0a331f18785ab0f43200364a52e81bb0021	.py	script
code/original_scripts/empty_probe.py	3809	68540524d17b12c3dcf08c2804968fc25a1b93e28caeb9834ddba575526c8f11	.py	script
code/original_scripts/gemma_behavioral_sweep.py	4708	202e1704cfc54212da8f5f577960f5455cce55cdabea8ec6d5a5ca5fe3a7b53d	.py	script
code/original_scripts/gemma_sae_displacement.py	6683	4386d58c43efa1c5431dd037b5393f9f25abb42c987ccf1a89caad32e915cce3	.py	script
code/original_scripts/metrics_v2.py	6174	a09b33eff2c024ad4ea2894ecfce09fa0b222c02c217fcb4fab2988b28bbe9bd	.py	script
code/original_scripts/multimodel_behavioral.py	4329	d4c5bd7dbfbe1848d0d711aac1624a467c97f4306687956b4feaae981d040249	.py	script
code/original_scripts/openai_behavioral.py	10706	81e0c6121aad8aa0c473a52cc7b0e7b3683bc57ec1bf21ba7dcbff7b8144adbf	.py	script
code/original_scripts/openai_reasoning_rerun.py	3289	c785c6d6a240cb6ae891fd4c8deda495634eff07db6e3f362c9a8b3b5de9659f	.py	script
code/original_scripts/qwen_behavioral.py	5459	63f3e725858a15948e2135423b58bb26cdbd174a1f1d3104f2cc35a6a08cc603	.py	script
code/original_scripts/qwen_sae_displacement.py	7516	88a04521f54979b9a9dc93259ff216f1ca6db84642c62f1e8b00b506495ccb07	.py	script
code/original_scripts/qwen_summarize.py	2881	cd6f7b94bc64876d2a5ddc2f6f4df49b9aea49e1f5ebfb7305e3f13fab0229d9	.py	script
code/original_scripts/regen_qwen_A.py	3229	d2af4f45947f433cfad990e8cd3bd1af18176f37aadc711faa6f23427f4ab2e0	.py	script
code/original_scripts/synthesize.py	4994	96b7dde5bb7a56cb0c5a7a1344039b189183e9724363de57bfe5e635c5f2981a	.py	script
code/original_scripts/tine_causal_controls.py	4991	488715ea7cc5e16773538b10dadee37e4532eae0b4a88d6f2d64253fb7261fff	.py	script
code/original_scripts/tine_tokenizer_baseline.py	9478	67b8c96d3f27416c109da339e53d3a14f90607255693b336bd26d4d6bdd17532	.py	script
data/README.md	378	f2c861e3dd1796d151635c33680d201bfa0c6b1935a1dd07465cfb9be9270d48	.md	documentation_or_summary
data/exploratory/inventory_snapshot/COLLECTION_REPORT.md	2149	631db1af7fe64356d827a2c61c5d5520493780152b5c6df34650ce152e4850b1	.md	documentation_or_summary
data/exploratory/inventory_snapshot/MANIFEST.tsv	1547989	bbb0e97959fffd30693053328e6ff8f6f97080df74b4f9b79c48579040cdb2e2	.tsv	tabular_data
data/exploratory/inventory_snapshot/OMITTED.tsv	21695	17e3838e02d84cf55ee7ee89d342e0dec522ee24140c9d4f882c6eccbf0ec2fc	.tsv	tabular_data
data/exploratory/inventory_snapshot/SHA256SUMS	776757	e58078e542fe400a1536717a3b56814231679e68246e4f9f554a060c474fa1ba	[none]	other
data/exploratory/inventory_snapshot/SOURCE_SEARCH_NOTES.md	4038	c0f2b6358e614cdccffb64be02563070e0262357b98d5771a2dab98dc1f74c81	.md	documentation_or_summary
data/exploratory/legacy_collected_sources/external_ssd/aave-register-bias-study/data/source-corpus/INTROSPECTIVE_UNICODE_DSTROKE_TOKENIZER_SUMMARY.md	1988	f46df4d189ed5c548abe95de1a45badc8a0cf8fd726949a4cf174ae258ddfde6	.md	documentation_or_summary
data/exploratory/legacy_collected_sources/external_ssd/aave-register-bias-study/data/source-corpus/introspective_unicode_dstroke_capture_nothink_padded.tsv	45576	b56ca238f2ff532fc27d3a83ec895cfe7d1350e49e7250724a4cd4017cb4baf8	.tsv	tabular_data
data/exploratory/legacy_collected_sources/external_ssd/aave-register-bias-study/data/source-corpus/introspective_unicode_dstroke_capture_think_padded.tsv	44507	c84633529123075a401fd05d12263b1a0eda4936d7ff78dc07b08993430222ad	.tsv	tabular_data
data/exploratory/legacy_collected_sources/external_ssd/aave-register-bias-study/data/source-corpus/introspective_unicode_dstroke_prompts.tsv	52219	9bf9b2fe7f352ac8374387a1ef4c5e4d44dddc6bede65ee16c5b99272f5f95ed	.tsv	tabular_data
data/exploratory/legacy_collected_sources/external_ssd/aave-register-bias-study/data/source-corpus/introspective_unicode_dstroke_prompts_padded.tsv	58815	92602559334695f31fc875510e4ae49366e037631257fbc2c12c3cbb43a7ad6e	.tsv	tabular_data
data/exploratory/legacy_collected_sources/external_ssd/aave-register-bias-study/data/source-corpus/introspective_unicode_dstroke_tokenizer_report.tsv	13348	43d55f4f810e4cbebfde63d86c2b8169b8b5f2ef8018e441ce59b22c67b63a80	.tsv	tabular_data
data/exploratory/legacy_collected_sources/external_ssd/aave-register-bias-study/data/source-corpus/primary_hum_prompt_dstroke.md	497	8e1331cf2fb1a237ff36889706cfbb532a9e6755217ad5449dd4b8270a0d6ad4	.md	documentation_or_summary
data/exploratory/legacy_collected_sources/external_ssd/aave-register-bias-study/data/source-corpus/processing_hum_check_dstroke.md	523	fa1ce51c264c681be8f3414655531915b9b57d4dd2b8530d8399b065b1495903	.md	documentation_or_summary
data/exploratory/legacy_collected_sources/external_ssd/aave-registers/5-10-26/fl_structured_opacity_conditions.tsv	7498	c526ae38e4c6ceadfc6632aed4ad64bf4dd5b2dddd736677a702430e41aeb2f9	.tsv	tabular_data
data/exploratory/legacy_collected_sources/external_ssd/aave-registers/5-10-26/prefixes/C4_diacritic_stripped_fl_prefix.txt	24271	f585929d52f35bd896bd0341df1d88a651bd4d9612bc60def9fb32c586ee03ec	.txt	documentation_or_summary
data/exploratory/legacy_collected_sources/external_ssd/aave-registers/5-10-26/prompts/dstroke_p2.txt	485	be79391c6d35154b7b759048339f9e0382a508f4286e697c09630c9c79bd251d	.txt	documentation_or_summary
