base_prompt_family	perturbation_type	layer	position_label	ascii_prompt_id	perturbation_prompt_id	topk_jaccard	ascii_topk_count	perturbation_topk_count	intersection_count
original_hum	d_to_ḑ	26	final_prompt_token	original_hum_ascii_original	original_hum_d_to_dstroke	0.6949152542372882	50	50	41
original_hum	d_to_ḑ	26	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_d_to_dstroke	0.8518518518518519	50	50	46
original_hum	d_to_ḑ	26	final_prompt_token_minus_2	original_hum_ascii_original	original_hum_d_to_dstroke	0.7857142857142857	50	50	44
original_hum	d_to_ḑ	26	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_d_to_dstroke	0.639344262295082	50	50	39
original_hum	d_to_ḑ	26	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_d_to_dstroke	0.6949152542372882	50	50	41
original_hum	d_to_ḑ	14	final_prompt_token	original_hum_ascii_original	original_hum_d_to_dstroke	0.7857142857142857	50	50	44
original_hum	d_to_ḑ	14	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_d_to_dstroke	0.7241379310344828	50	50	42
original_hum	d_to_ḑ	14	final_prompt_token_minus_2	original_hum_ascii_original	original_hum_d_to_dstroke	0.7857142857142857	50	50	44
original_hum	d_to_ḑ	14	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_d_to_dstroke	0.6666666666666666	50	50	40
original_hum	d_to_ḑ	14	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_d_to_dstroke	0.5625	50	50	36
original_hum	e_to_ē	26	final_prompt_token	original_hum_ascii_original	original_hum_e_to_emacron	0.47058823529411764	50	50	32
original_hum	e_to_ē	26	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_e_to_emacron	0.5384615384615384	50	50	35
original_hum	e_to_ē	26	final_prompt_token_minus_2	original_hum_ascii_original	original_hum_e_to_emacron	0.02040816326530612	50	50	2
original_hum	e_to_ē	26	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_e_to_emacron	0.041666666666666664	50	50	4
original_hum	e_to_ē	26	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_e_to_emacron	0.02040816326530612	50	50	2
original_hum	e_to_ē	14	final_prompt_token	original_hum_ascii_original	original_hum_e_to_emacron	0.47058823529411764	50	50	32
original_hum	e_to_ē	14	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_e_to_emacron	0.42857142857142855	50	50	30
original_hum	e_to_ē	14	final_prompt_token_minus_2	original_hum_ascii_original	original_hum_e_to_emacron	0.030927835051546393	50	50	3
original_hum	e_to_ē	14	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_e_to_emacron	0.14942528735632185	50	50	13
original_hum	e_to_ē	14	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_e_to_emacron	0.02040816326530612	50	50	2
original_hum	s_to_ş	26	final_prompt_token	original_hum_ascii_original	original_hum_s_to_scedilla	0.47058823529411764	50	50	32
original_hum	s_to_ş	26	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_s_to_scedilla	0.4492753623188406	50	50	31
original_hum	s_to_ş	26	final_prompt_token_minus_2	original_hum_ascii_original	original_hum_s_to_scedilla	0.12359550561797752	50	50	11
original_hum	s_to_ş	26	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_s_to_scedilla	0.06382978723404255	50	50	6
original_hum	s_to_ş	26	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_s_to_scedilla	0.06382978723404255	50	50	6
original_hum	s_to_ş	14	final_prompt_token	original_hum_ascii_original	original_hum_s_to_scedilla	0.4492753623188406	50	50	31
original_hum	s_to_ş	14	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_s_to_scedilla	0.3698630136986301	50	50	27
original_hum	s_to_ş	14	final_prompt_token_minus_2	original_hum_ascii_original	original_hum_s_to_scedilla	0.19047619047619047	50	50	16
original_hum	s_to_ş	14	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_s_to_scedilla	0.1111111111111111	50	50	10
original_hum	s_to_ş	14	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_s_to_scedilla	0.030927835051546393	50	50	3
original_hum	s_to_ṡ	26	final_prompt_token	original_hum_ascii_original	original_hum_s_to_sdot	0.5384615384615384	50	50	35
original_hum	s_to_ṡ	26	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_s_to_sdot	0.7543859649122807	50	50	43
original_hum	s_to_ṡ	26	final_prompt_token_minus_2	original_hum_ascii_original	original_hum_s_to_sdot	0.5384615384615384	50	50	35
original_hum	s_to_ṡ	26	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_s_to_sdot	0.010101010101010102	50	50	1
original_hum	s_to_ṡ	26	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_s_to_sdot	0.05263157894736842	50	50	5
original_hum	s_to_ṡ	14	final_prompt_token	original_hum_ascii_original	original_hum_s_to_sdot	0.6129032258064516	50	50	38
original_hum	s_to_ṡ	14	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_s_to_sdot	0.5384615384615384	50	50	35
original_hum	s_to_ṡ	14	final_prompt_token_minus_2	original_hum_ascii_original	original_hum_s_to_sdot	0.47058823529411764	50	50	32
original_hum	s_to_ṡ	14	final_prompt_token_minus_5	original_hum_ascii_original	original_hum_s_to_sdot	0.010101010101010102	50	50	1
original_hum	s_to_ṡ	14	final_prompt_token_minus_10	original_hum_ascii_original	original_hum_s_to_sdot	0.05263157894736842	50	50	5
original_hum	random_readable_unicode_control	26	final_prompt_token	original_hum_ascii_original	original_hum_random_readable_unicode_control	0.5625	50	50	36
original_hum	random_readable_unicode_control	26	final_prompt_token_minus_1	original_hum_ascii_original	original_hum_random_readable_unicode_control	0.6129032258064516	50	50	38
original_hum	random_readable_unicode_control	26	final_prompt_token_minus_2	original_hum_ascii_original	original_hum_random_readable_unicode_control	0.07526881720430108	50	50	7
