base_prompt_family	perturbation_type	layer	position_label	feature_id	ascii_activation	perturbation_activation	delta	abs_delta	ascii_rank	perturbation_rank	ascii_present	perturbation_present
original_hum	d_to_ḑ	26	final_prompt_token	599	0.26421141624450684	0.2543397545814514	-0.00987166166305542	0.00987166166305542	14	18	1	1
original_hum	d_to_ḑ	26	final_prompt_token	799	0.0	0.2219994068145752	0.2219994068145752	0.2219994068145752		23	0	1
original_hum	d_to_ḑ	26	final_prompt_token	1626	0.42868274450302124	0.36685705184936523	-0.061825692653656006	0.061825692653656006	4	6	1	1
original_hum	d_to_ḑ	26	final_prompt_token	2722	0.183280348777771	0.0	-0.183280348777771	0.183280348777771	35		1	0
original_hum	d_to_ḑ	26	final_prompt_token	2938	1.5165879726409912	1.419109582901001	-0.09747838973999023	0.09747838973999023	1	1	1	1
original_hum	d_to_ḑ	26	final_prompt_token	3241	0.3976282477378845	0.39311307668685913	-0.004515171051025391	0.004515171051025391	6	5	1	1
original_hum	d_to_ḑ	26	final_prompt_token	3271	0.17784570157527924	0.18286730349063873	0.005021601915359497	0.005021601915359497	39	33	1	1
original_hum	d_to_ḑ	26	final_prompt_token	4795	0.1595534235239029	0.0	-0.1595534235239029	0.1595534235239029	46		1	0
original_hum	d_to_ḑ	26	final_prompt_token	5257	0.24086669087409973	0.2598109841346741	0.01894429326057434	0.01894429326057434	19	15	1	1
original_hum	d_to_ḑ	26	final_prompt_token	5995	0.0	0.15720340609550476	0.15720340609550476	0.15720340609550476		46	0	1
original_hum	d_to_ḑ	26	final_prompt_token	6021	0.25181037187576294	0.24918213486671448	-0.002628237009048462	0.002628237009048462	16	19	1	1
original_hum	d_to_ḑ	26	final_prompt_token	6194	0.326543927192688	0.27976343035697937	-0.04678049683570862	0.04678049683570862	11	12	1	1
original_hum	d_to_ḑ	26	final_prompt_token	6429	0.2871433198451996	0.30359742045402527	0.016454100608825684	0.016454100608825684	12	10	1	1
original_hum	d_to_ḑ	26	final_prompt_token	6593	0.17148399353027344	0.0	-0.17148399353027344	0.17148399353027344	44		1	0
original_hum	d_to_ḑ	26	final_prompt_token	7108	0.17277000844478607	0.0	-0.17277000844478607	0.17277000844478607	43		1	0
original_hum	d_to_ḑ	26	final_prompt_token	7163	0.18945328891277313	0.17769035696983337	-0.011762931942939758	0.011762931942939758	31	35	1	1
original_hum	d_to_ḑ	26	final_prompt_token	7982	0.22221077978610992	0.19445525109767914	-0.027755528688430786	0.027755528688430786	23	28	1	1
original_hum	d_to_ḑ	26	final_prompt_token	8216	0.17607009410858154	0.18992257118225098	0.013852477073669434	0.013852477073669434	40	31	1	1
original_hum	d_to_ḑ	26	final_prompt_token	8418	0.17841991782188416	0.1636325716972351	-0.014787346124649048	0.014787346124649048	38	44	1	1
original_hum	d_to_ḑ	26	final_prompt_token	8882	0.17877641320228577	0.19398604333400726	0.015209630131721497	0.015209630131721497	37	29	1	1
original_hum	d_to_ḑ	26	final_prompt_token	9745	0.17381246387958527	0.0	-0.17381246387958527	0.17381246387958527	41		1	0
original_hum	d_to_ḑ	26	final_prompt_token	11256	0.3714238405227661	0.41880542039871216	0.047381579875946045	0.047381579875946045	8	4	1	1
original_hum	d_to_ḑ	26	final_prompt_token	11456	0.17288166284561157	0.16548848152160645	-0.007393181324005127	0.007393181324005127	42	42	1	1
original_hum	d_to_ḑ	26	final_prompt_token	12320	0.21982868015766144	0.22033339738845825	0.000504717230796814	0.000504717230796814	24	24	1	1
original_hum	d_to_ḑ	26	final_prompt_token	13061	0.2025529444217682	0.16483856737613678	-0.03771437704563141	0.03771437704563141	27	43	1	1
original_hum	d_to_ḑ	26	final_prompt_token	13916	0.20334230363368988	0.19077569246292114	-0.012566611170768738	0.012566611170768738	26	30	1	1
original_hum	d_to_ḑ	26	final_prompt_token	13935	0.3348083198070526	0.3231457471847534	-0.011662572622299194	0.011662572622299194	9	8	1	1
original_hum	d_to_ḑ	26	final_prompt_token	14614	0.18283389508724213	0.15708018839359283	-0.025753706693649292	0.025753706693649292	36	47	1	1
original_hum	d_to_ḑ	26	final_prompt_token	15076	0.18733543157577515	0.23772163689136505	0.050386205315589905	0.050386205315589905	33	20	1	1
original_hum	d_to_ḑ	26	final_prompt_token	15560	0.18576236069202423	0.16820433735847473	-0.0175580233335495	0.0175580233335495	34	41	1	1
original_hum	d_to_ḑ	26	final_prompt_token	15954	0.3309563398361206	0.3038575053215027	-0.02709883451461792	0.02709883451461792	10	9	1	1
original_hum	d_to_ḑ	26	final_prompt_token	16439	0.0	0.18667387962341309	0.18667387962341309	0.18667387962341309		32	0	1
original_hum	d_to_ḑ	26	final_prompt_token	17394	0.20992770791053772	0.19928550720214844	-0.010642200708389282	0.010642200708389282	25	26	1	1
original_hum	d_to_ḑ	26	final_prompt_token	17869	0.19256234169006348	0.17034292221069336	-0.022219419479370117	0.022219419479370117	29	38	1	1
original_hum	d_to_ḑ	26	final_prompt_token	18198	0.26194608211517334	0.22990606725215912	-0.03204001486301422	0.03204001486301422	15	21	1	1
original_hum	d_to_ḑ	26	final_prompt_token	18937	0.6793763637542725	0.6690738201141357	-0.010302543640136719	0.010302543640136719	3	2	1	1
original_hum	d_to_ḑ	26	final_prompt_token	19335	0.15677134692668915	0.0	-0.15677134692668915	0.15677134692668915	49		1	0
original_hum	d_to_ḑ	26	final_prompt_token	19389	0.3767392635345459	0.3619787096977234	-0.01476055383682251	0.01476055383682251	7	7	1	1
