prompt_id	base_prompt_family	perturbation_type	layer	position_label	token_position	token_string	feature_id	activation	rank	prompt_token_count
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	2938	1.5165879726409912	1	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	28713	0.6876916289329529	2	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	18937	0.6793763637542725	3	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	1626	0.42868274450302124	4	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	31908	0.41304582357406616	5	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	3241	0.3976282477378845	6	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	19389	0.3767392635345459	7	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	11256	0.3714238405227661	8	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	13935	0.3348083198070526	9	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	15954	0.3309563398361206	10	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	6194	0.326543927192688	11	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	6429	0.2871433198451996	12	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	29524	0.26792454719543457	13	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	599	0.26421141624450684	14	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	18198	0.26194608211517334	15	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	6021	0.25181037187576294	16	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	25001	0.2486872673034668	17	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	25575	0.2413863241672516	18	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	5257	0.24086669087409973	19	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	26684	0.22939617931842804	20	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	32698	0.22842353582382202	21	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	27342	0.22260022163391113	22	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	7982	0.22221077978610992	23	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	12320	0.21982868015766144	24	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	17394	0.20992770791053772	25	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	13916	0.20334230363368988	26	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	13061	0.2025529444217682	27	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	30453	0.19626623392105103	28	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	17869	0.19256234169006348	29	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	23977	0.19217467308044434	30	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	7163	0.18945328891277313	31	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	30033	0.187518909573555	32	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	15076	0.18733543157577515	33	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	15560	0.18576236069202423	34	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	2722	0.183280348777771	35	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	14614	0.18283389508724213	36	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	8882	0.17877641320228577	37	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	8418	0.17841991782188416	38	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	3271	0.17784570157527924	39	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	8216	0.17607009410858154	40	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	9745	0.17381246387958527	41	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	11456	0.17288166284561157	42	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	7108	0.17277000844478607	43	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	6593	0.17148399353027344	44	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	21181	0.16554288566112518	45	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	4795	0.1595534235239029	46	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	26363	0.1594351977109909	47	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	32454	0.15740612149238586	48	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	19335	0.15677134692668915	49	93
original_hum_ascii_original	original_hum	ascii_original	26	final_prompt_token	92	.	27872	0.15484727919101715	50	93
original_hum_ascii_original	original_hum	ascii_original	14	final_prompt_token	92	.	2961	0.5185855627059937	1	93
original_hum_ascii_original	original_hum	ascii_original	14	final_prompt_token	92	.	3830	0.511832058429718	2	93
original_hum_ascii_original	original_hum	ascii_original	14	final_prompt_token	92	.	7163	0.34494417905807495	3	93
original_hum_ascii_original	original_hum	ascii_original	14	final_prompt_token	92	.	6429	0.2723112106323242	4	93
original_hum_ascii_original	original_hum	ascii_original	14	final_prompt_token	92	.	20557	0.25481870770454407	5	93
original_hum_ascii_original	original_hum	ascii_original	14	final_prompt_token	92	.	30964	0.251188725233078	6	93
